title,artist,version,key,capo,difficulty,energy,bpm,moments,themes,tags,youtube_url
A Casa É Sua,,,,,intermediaria,5,,Celebração,"celebração|presença",,
Grande É o Senhor,,,,,intermediaria,5,,Celebração,"soberania|celebração",,
Vitorioso És,,,,,intermediaria,5,,Celebração,"celebração|confiança",,
Nosso General É Cristo,,,,,intermediaria,5,,Celebração,soberania,guerra-espiritual,
Celebrai com Júbilo,,,,,intermediaria,5,,Celebração,"celebração|alegria",,
Deus de Promessas,,,,,avancada,4,,Celebração,fidelidade,,
Te Agradeço,,,,,intermediaria,4,,"Celebração|Oferta",gratidão,,
O Nosso Deus É Soberano,,,,,intermediaria,5,,Celebração,soberania,,
Cantarei Teu Amor Pra Sempre,,,,,intermediaria,4,,Celebração,"fidelidade|celebração",,
Louve,,,,,iniciante,5,,Celebração,"celebração|alegria",,
Galileu,,,,,intermediaria,5,,Celebração,"salvação|celebração",,
Pra Sempre,,,,,intermediaria,4,,Celebração,fidelidade,,
A Alegria do Senhor,,,,,iniciante,5,,Celebração,alegria,,
Ele É Exaltado,,,,,intermediaria,4,,Celebração,"celebração|soberania",hino-classico,
Quero Louvar-Te,,,,,intermediaria,4,,Celebração,"celebração|adoração",,
Em Espírito e em Verdade,,,,,intermediaria,3,,"Celebração|Adoração",adoração,,
Eu Navegarei,,,,,intermediaria,4,,Celebração,"confiança|esperança",hino-classico,
Deus É Deus,,,,,intermediaria,5,,Celebração,soberania,,
Porque Ele Vive,,,,,iniciante,4,,"Celebração|Encerramento",esperança,hino-classico,
Grandioso És Tu,,,,,iniciante,3,,"Celebração|Adoração",soberania,hino-classico,
A Ele a Glória,,,,,intermediaria,4,,"Celebração|Encerramento",celebração,,
Ele Reina,,,,,intermediaria,5,,Celebração,soberania,,
Digno é o Senhor,,,,,intermediaria,4,,Celebração,"soberania|adoração",,
Eu e Minha Casa,,,,,intermediaria,4,,Celebração,"fidelidade|missão",,
Te Louvarei,,,,,intermediaria,4,,Celebração,"celebração|gratidão",,
Lugar Secreto,,,,,intermediaria,2,,Adoração,"presença|confiança",,
Ninguém Explica Deus,,,,,intermediaria,3,,Adoração,"soberania|confiança",,
Aquieta Minh'Alma,,,,,intermediaria,1,,"Adoração|Ministração","confiança|esperança",,
Yeshua,,,,,intermediaria,3,,Adoração,"adoração|santidade",,
Santo Espírito,,,,,intermediaria,2,,Adoração,Espírito Santo,,
Tu És Tudo Que Tenho,,,,,intermediaria,2,,Adoração,"entrega|confiança",,
Pra Onde Irei?,,,,,intermediaria,2,,Adoração,"presença|confiança",,
Boa Parte,,,,,intermediaria,2,,Adoração,"entrega|presença",,
