title,artist,version,key,capo,difficulty,energy,bpm,moments,themes,tags,youtube_url
Creio,Diante do Trono,,,,intermediaria,3,,Adoração,confiança,,
Canta Minh'Alma,Diante do Trono,,,,intermediaria,4,,Celebração,"alegria|celebração",,
Levanto um Aleluia,"Diante do Trono / Isaías Saad",,,,intermediaria,5,,Celebração,celebração,,
Aba Pai,"Diante do Trono / Gabriela Rocha",,,,intermediaria,2,,Adoração,"presença|confiança",,
Tetelestai,Diante do Trono,,,,intermediaria,2,,Ministração,"cruz|salvação",,
Ainda Existe uma Cruz,Diante do Trono,,,,intermediaria,2,,Ministração,"cruz|salvação",,
Sol da Justiça,Diante do Trono,,,,intermediaria,4,,Celebração,"esperança|soberania",,
Tu Reinas,Diante do Trono,,,,intermediaria,4,,Celebração,soberania,,
Me Ama,Diante do Trono,,,,intermediaria,3,,Adoração,"graça|confiança",,
Rei da Glória,"Isaías Saad / Juliano Son",,,,intermediaria,5,,Celebração,"soberania|celebração",,
Eu Amo a Tua Glória,"Isaías Saad / Theo Rubia",,,,intermediaria,3,,Adoração,adoração,,
Seu Amor,"Isaías Saad / LUDI",,,,intermediaria,3,,Adoração,graça,,
Diz,Gabriela Rocha,,,,intermediaria,2,,Adoração,confiança,,
Teu Santo Nome,Gabriela Rocha,,,,intermediaria,3,,Adoração,"adoração|santidade",,
Céu,Gabriela Rocha,,,,intermediaria,2,,Adoração,esperança,,
Eu e o Rei,"Gabriela Rocha / Weslei Santos",,,,intermediaria,3,,Adoração,comunhão,,
Ecoar,Gabriela Rocha,,,,intermediaria,4,,Celebração,celebração,,
Uma Coisa,Morada,,,,intermediaria,3,,Adoração,"entrega|adoração",,
Para que Entre o Rei,Morada,,,,intermediaria,4,,Celebração,soberania,,
Desenvolvendo Amor,Morada,,,,intermediaria,3,,Adoração,comunhão,,
Morada em Mim,Morada,,,,intermediaria,2,,Adoração,presença,,
Eu Te Vejo em Tudo,Casa Worship,,,,intermediaria,3,,Adoração,confiança,,
Vento Impetuoso,Casa Worship,,,,intermediaria,4,,Ministração,Espírito Santo,,
Era Eu,Casa Worship,,,,intermediaria,2,,Ministração,"graça|salvação",,
Faz Arder,Casa Worship,,,,intermediaria,4,,Ministração,Espírito Santo,,
Tá Chorando Por Quê?,Preto no Branco,,,,intermediaria,3,,Ministração,"esperança|confiança",,
O Autor,Preto no Branco,,,,intermediaria,4,,Celebração,soberania,,
Não Quero Ser Mais Eu,Preto no Branco,,,,intermediaria,3,,Ministração,entrega,,
O Leão e a Igreja,Preto no Branco,,,,intermediaria,5,,Celebração,"soberania|missão",,
Sensacional,Preto no Branco,,,,intermediaria,5,,Celebração,"alegria|celebração",,
Jesus Virá,Preto no Branco,,,,intermediaria,4,,Celebração,esperança,,
Me Deixe Aqui,Preto no Branco,,,,intermediaria,2,,Adoração,presença,,
